Year,Round,Team1,Team2,Team1.Result,Team2.Result,Team1.1QTotal,Team1.2QTotal,Team1.3QTotal,Team1.4QTotal,Team2.1QTotal,Team2.2QTotal,Team2.3QTotal,Team2.4QTotal
2018,20,St Kilda Saints,Western Bulldogs,L,W,26,20,5,17,5,37,54,7
2018,20,Carlton Blues,GWS Giants,L,W,8,19,13,6,35,43,28,45
2018,20,Melbourne Demons,Gold Coast Suns,W,L,57,33,18,35,6,20,8,13
2018,20,West Coast Eagles,Freemantle Dockers,W,L,28,33,45,36,8,20,26,30
2018,21,Essendon Bombers,St Kilda Saints,W,L,33,35,29,25,28,16,8,27
2018,21,Hawthorn Hawks,Geelong Cats,W,L,4,34,26,7,16,2,20,22
2018,21,Gold Coast Suns,Richmond Tigers,L,W,7,16,3,25,28,25,46,26
2018,21,Port Adelaide Power,West Coast Eagles,L,W,31,7,18,2,7,13,21,21
2018,21,GWS Giants,Adelaide Crows,W,L,28,17,35,26,27,22,20,23
2018,21,Collingwood Magpies,Brisbane Lions,W,L,9,28,43,24,22,12,18,21
2018,21,North Melbourne Kangaroos,Western Bulldogs,L,W,14,45,17,9,10,21,50,11
2018,21,Melbourne Demons,Sydney Swans,L,W,18,12,26,22,7,37,40,3
2018,21,Freemantle Dockers,Carlton Blues,W,L,10,27,45,19,24,26,2,20
2018,22,Richmond Tigers,Essendon Bombers,W,L,24,12,32,13,15,13,19,26
2018,22,Collingwood Magpies,Port Adelaide Power,W,L,26,35,10,44,25,19,14,6
2018,22,Geelong Cats,Freemantle Dockers,W,L,11,61,39,47,20,0,3,2
2018,22,GWS Giants,Sydney Swans,L,W,21,21,9,9,8,19,12,41
2018,22,Gold Coast Suns,Brisbane Lions,L,W,8,32,14,20,23,23,11,21
2018,22,St Kilda Saints,Hawthorn Hawks,L,W,9,33,27,7,28,19,31,2
2018,22,Carlton Blues,Western Bulldogs,L,W,14,14,8,13,13,13,14,26
2018,22,West Coast Eagles,Melbourne Demons,L,W,18,16,38,19,28,20,32,28
2018,22,Adelaide Crows,North Melbourne Kangaroos,W,L,23,28,22,13,20,3,20,34
2018,23,Port Adelaide Power,Essendon Bombers,L,W,7,29,25,28,40,21,37,13
